N,P,K,Temperature,Rainfall,pH,Humidity,Soil_Type,Agro_Zone,Irrigation,Season,Crop,District
95.0,62.0,80.0,26.2,352.6,7.5,74.1,Red-Brown Earth,Dry Zone,Irrigated,Yala,Pumpkin,Puttalam
167.3,104.1,155.6,29.2,1478.9,5.31,72.4,Organic-Rich Loam,Low Country Wet Zone,Irrigated,Maha,Kohlrabi (Nokol),Colombo
64.0,69.0,106.0,30.9,512.3,6.6,54.6,Red-Brown Earth,Dry Zone,Irrigated,Yala,Big Onion,Ampara
61.0,30.0,97.0,23.8,1890.5,5.7,75.3,Sandy Loam,Low Country Wet Zone,Rainfed,Yala,Innala,Ratnapura
101.6,57.2,105.3,22.9,989.4,6.17,71.2,Loam,Intermediate Zone,Supplemental,Maha,Capsicum,Matara
159.6,94.6,123.8,30.4,1084.2,7.1,69.8,Loam,Intermediate Zone,Irrigated,Maha,Tibbatu (Turkey Berry),Matale
100.0,92.0,115.0,29.7,85.0,5.5,80.0,Sandy Loam,Intermediate Zone,Irrigated,Yala,Pathola (Snake Gourd),Matale
59.0,60.0,69.0,27.6,1652.0,6.1,69.3,Clay Loam,Intermediate Zone,Supplemental,Maha,Winged Bean (Dambala),Kurunegala
149.0,100.0,152.0,23.5,827.0,5.7,65.4,Red-Yellow Podzolic,Intermediate Zone,Irrigated,Yala,Carrot,Kandy
126.9,51.6,79.1,27.5,740.4,6.9,66.4,Reddish-Brown Earth,Mid Country Intermediate Zone,Supplemental,Yala,Okra,Badulla
98.0,46.0,107.0,26.5,1790.1,5.52,72.1,Alluvial,Intermediate Zone,Rainfed,Maha,Brinjal (Eggplant),Nuwara Eliya
122.0,65.0,89.0,25.4,636.2,6.0,63.1,Sandy Regosol,Dry Coastal Zone,Irrigated,Yala,Potato,Batticaloa
123.0,93.0,128.0,28.9,101.0,6.6,61.0,Sandy Loam,Intermediate Zone,Irrigated,Yala,Pathola (Snake Gourd),Badulla
53.0,34.0,90.0,27.5,2051.0,5.75,84.0,Loam,Low Country Wet Zone,Rainfed,Yala,Brinjal (Eggplant),Colombo
157.0,125.0,100.2,31.3,1218.3,6.23,70.7,Red-Yellow Podzolic,Dry Zone,Irrigated,Maha,Kiri Ala,Jaffna
30.0,30.8,38.0,33.6,1178.2,6.5,59.6,Well Drained Loam,Low Country Dry Zone,Irrigated,Yala,Cowpea,Hambantota
99.5,55.9,69.7,21.4,2694.5,6.1,83.7,Deep Sandy Loam,Low Country Wet Zone,Irrigated,Maha,Chilli,Matara
90.0,54.0,119.0,29.1,1857.2,5.4,74.2,Light Sandy Loam,Low Country Wet Zone,Supplemental,Yala,Innala,Matara
77.0,44.0,24.0,31.1,611.7,7.1,63.6,Alluvial,Dry Zone,Irrigated,Yala,Sunflower,Ampara
64.0,36.0,121.0,28.4,1045.0,5.8,72.0,Sandy Loam,Intermediate Zone,Rainfed,Maha,Cassava,Matale
24.0,43.0,66.0,31.6,721.1,6.4,62.9,Loamy Sand,Low Country Dry Zone,Rainfed,Maha,Mung Bean,Trincomalee
53.0,25.5,37.0,25.7,1385.6,6.8,64.4,Well Drained Loam,Low Country Intermediate Zone,Rainfed,Yala,Cowpea,Puttalam
